30,Banco del Pacifico,0
31,Banco de Guayaquil,0
32,Produbanco,0
33,Banco Bolivariano,0
34,Banco Internacional,0
35,Banco del Austro,0
36,Banco Promerica,0
37,Banco de Machala,0
38,BGR,0
39,Citibank,0
40,Banco ProCredit,0
41,UniBanco,0
42,Banco Solidario,0
43,Banco de Loja,0
44,Banco Territorial,0
45,Banco Coopnacional,0
46,Banco Amazonas,0
47,Banco Capital,0
48,Banco DMIRO,0
49,Banco Finca,0
50,Banco Comercial de Manabi,0
51,Banco COFIEC,0
52,Banco del Litoral,0
53,Banco Delbank,0
54,Banco Sudamericano,0
